Image,Prediction
5966.jpg,forest
119.jpg,glacier
14210.jpg,buildings
20569.jpg,sea
23719.jpg,buildings
11549.jpg,glacier
11897.jpg,buildings
18376.jpg,mountain
3431.jpg,mountain
6390.jpg,forest
21753.jpg,buildings
23849.jpg,mountain
2258.jpg,forest
8012.jpg,street
141.jpg,street
1268.jpg,mountain
15365.jpg,glacier
19521.jpg,glacier
15312.jpg,buildings
1801.jpg,buildings
14793.jpg,sea
5766.jpg,mountain
4758.jpg,sea
23345.jpg,forest
18333.jpg,forest
13202.jpg,forest
337.jpg,sea
5497.jpg,forest
19157.jpg,buildings
919.jpg,forest
22749.jpg,mountain
6504.jpg,forest
19725.jpg,sea
5671.jpg,glacier
8770.jpg,street
8128.jpg,glacier
22217.jpg,glacier
14490.jpg,street
8141.jpg,buildings
22906.jpg,forest
22497.jpg,glacier
2778.jpg,sea
21502.jpg,mountain
23145.jpg,street
18286.jpg,buildings
7536.jpg,street
19086.jpg,forest
19376.jpg,forest
22610.jpg,sea
11318.jpg,glacier
14589.jpg,buildings
3419.jpg,mountain
17251.jpg,buildings
8570.jpg,mountain
10276.jpg,mountain
17489.jpg,mountain
6574.jpg,sea
8654.jpg,street
15846.jpg,sea
11005.jpg,street
9638.jpg,buildings
7740.jpg,mountain
17160.jpg,mountain
17003.jpg,sea
5793.jpg,mountain
1835.jpg,mountain
16737.jpg,forest
11849.jpg,buildings
23696.jpg,forest
17147.jpg,mountain
23394.jpg,glacier
19678.jpg,sea
12259.jpg,glacier
4246.jpg,buildings
8423.jpg,street
5367.jpg,street
17988.jpg,street
3390.jpg,sea
15912.jpg,sea
8127.jpg,sea
15305.jpg,street
6475.jpg,glacier
17746.jpg,glacier
21836.jpg,buildings
1997.jpg,sea
3502.jpg,mountain
22808.jpg,mountain
15420.jpg,forest
19592.jpg,mountain
22880.jpg,sea
22135.jpg,mountain
9543.jpg,forest
19102.jpg,mountain
17436.jpg,street
17850.jpg,sea
13381.jpg,street
3652.jpg,mountain
173.jpg,glacier
4867.jpg,sea
16666.jpg,buildings
6539.jpg,street
3953.jpg,forest
18519.jpg,forest
5370.jpg,sea
2207.jpg,forest
7762.jpg,buildings
13512.jpg,glacier
14937.jpg,mountain
12828.jpg,glacier
19324.jpg,forest
15513.jpg,buildings
16894.jpg,mountain
22524.jpg,mountain
23790.jpg,forest
22010.jpg,mountain
18719.jpg,forest
16298.jpg,street
8398.jpg,glacier
21728.jpg,forest
20951.jpg,street
15630.jpg,forest
8316.jpg,buildings
9683.jpg,sea
16822.jpg,mountain
18589.jpg,mountain
2046.jpg,mountain
22601.jpg,mountain
21402.jpg,mountain
10634.jpg,mountain
1081.jpg,street
4302.jpg,forest
19568.jpg,street
5491.jpg,sea
14051.jpg,sea
12261.jpg,forest
17224.jpg,sea
21785.jpg,sea
17349.jpg,mountain
21109.jpg,glacier
6087.jpg,glacier
6980.jpg,mountain
11330.jpg,forest
9641.jpg,buildings
17121.jpg,street
12088.jpg,glacier
1214.jpg,street
2378.jpg,forest
17656.jpg,buildings
16291.jpg,mountain
12017.jpg,buildings
11870.jpg,mountain
19682.jpg,mountain
8101.jpg,buildings
6965.jpg,glacier
21888.jpg,forest
11792.jpg,buildings
13751.jpg,buildings
15274.jpg,forest
15887.jpg,forest
13022.jpg,sea
6163.jpg,buildings
284.jpg,street
23690.jpg,mountain
471.jpg,glacier
4726.jpg,street
5681.jpg,buildings
16146.jpg,street
16892.jpg,forest
9982.jpg,mountain
21284.jpg,mountain
7521.jpg,mountain
3436.jpg,glacier
6424.jpg,forest
13407.jpg,buildings
6351.jpg,glacier
21500.jpg,buildings
9031.jpg,mountain
4195.jpg,mountain
20521.jpg,buildings
20463.jpg,mountain
16749.jpg,mountain
16444.jpg,street
15392.jpg,street
11285.jpg,buildings
1771.jpg,mountain
23767.jpg,glacier
12289.jpg,forest
1577.jpg,street
490.jpg,glacier
7299.jpg,forest
14155.jpg,mountain
17241.jpg,buildings
13333.jpg,mountain
12985.jpg,buildings
14361.jpg,street
21823.jpg,forest
12514.jpg,buildings
16653.jpg,sea
17640.jpg,forest
15870.jpg,mountain
14530.jpg,buildings
22242.jpg,forest
20022.jpg,glacier
12036.jpg,sea
11.jpg,glacier
18540.jpg,sea
11087.jpg,forest
17935.jpg,forest
19654.jpg,sea
13246.jpg,street
6615.jpg,forest
3721.jpg,mountain
11703.jpg,glacier
14682.jpg,street
7406.jpg,sea
13653.jpg,street
9411.jpg,forest
1717.jpg,buildings
9187.jpg,street
19018.jpg,forest
24316.jpg,glacier
13606.jpg,glacier
7631.jpg,buildings
9679.jpg,street
8664.jpg,sea
18171.jpg,forest
9865.jpg,sea
16277.jpg,buildings
5415.jpg,forest
22792.jpg,sea
10436.jpg,mountain
10561.jpg,forest
734.jpg,buildings
11250.jpg,street
11575.jpg,forest
23921.jpg,sea
8251.jpg,forest
8050.jpg,street
5251.jpg,sea
16415.jpg,sea
8646.jpg,street
14508.jpg,mountain
20689.jpg,mountain
17637.jpg,buildings
9827.jpg,street
18698.jpg,sea
14653.jpg,glacier
17990.jpg,street
10391.jpg,mountain
17733.jpg,mountain
5481.jpg,glacier
12394.jpg,sea
600.jpg,mountain
14657.jpg,mountain
10178.jpg,forest
24093.jpg,buildings
18611.jpg,buildings
9870.jpg,glacier
19392.jpg,mountain
8190.jpg,buildings
14580.jpg,buildings
23422.jpg,forest
6596.jpg,street
8652.jpg,forest
812.jpg,mountain
8666.jpg,mountain
3789.jpg,sea
10395.jpg,street
13869.jpg,street
13878.jpg,street
20156.jpg,street
10048.jpg,buildings
17752.jpg,forest
9443.jpg,glacier
6571.jpg,sea
1176.jpg,buildings
11711.jpg,mountain
19570.jpg,mountain
20850.jpg,glacier
11101.jpg,forest
22361.jpg,mountain
17440.jpg,street
6113.jpg,street
4268.jpg,glacier
2694.jpg,buildings
7606.jpg,mountain
6371.jpg,buildings
1990.jpg,sea
16877.jpg,buildings
21974.jpg,glacier
21577.jpg,forest
11904.jpg,buildings
22785.jpg,glacier
13690.jpg,mountain
11581.jpg,street
15394.jpg,forest
15220.jpg,buildings
14.jpg,street
3639.jpg,street
14120.jpg,forest
14367.jpg,mountain
23399.jpg,sea
10356.jpg,buildings
4333.jpg,street
1222.jpg,mountain
18071.jpg,street
1776.jpg,glacier
9082.jpg,buildings
2206.jpg,street
8665.jpg,sea
8997.jpg,street
14401.jpg,sea
17871.jpg,mountain
16373.jpg,street
18227.jpg,glacier
18722.jpg,glacier
20518.jpg,sea
4376.jpg,street
23086.jpg,sea
9436.jpg,mountain
6621.jpg,street
1726.jpg,forest
3171.jpg,street
13610.jpg,street
3441.jpg,mountain
3886.jpg,street
11930.jpg,mountain
8078.jpg,forest
8675.jpg,mountain
4929.jpg,mountain
15046.jpg,street
2624.jpg,glacier
9244.jpg,sea
22975.jpg,buildings
23216.jpg,mountain
22148.jpg,street
4984.jpg,sea
16210.jpg,street
8784.jpg,mountain
14921.jpg,glacier
1831.jpg,glacier
171.jpg,sea
5751.jpg,mountain
11678.jpg,glacier
23249.jpg,buildings
20697.jpg,buildings
12033.jpg,mountain
12459.jpg,sea
4319.jpg,sea
11501.jpg,mountain
7055.jpg,buildings
16158.jpg,mountain
22052.jpg,forest
6649.jpg,glacier
3728.jpg,forest
7334.jpg,street
9435.jpg,mountain
3942.jpg,forest
7855.jpg,glacier
1187.jpg,sea
8184.jpg,sea
5914.jpg,glacier
13316.jpg,buildings
7657.jpg,sea
16815.jpg,sea
15461.jpg,mountain
3085.jpg,mountain
21966.jpg,mountain
12686.jpg,glacier
22225.jpg,forest
14636.jpg,forest
14581.jpg,mountain
4265.jpg,mountain
21562.jpg,mountain
7161.jpg,buildings
17699.jpg,buildings
15786.jpg,street
16767.jpg,mountain
16094.jpg,glacier
7119.jpg,buildings
20263.jpg,mountain
22566.jpg,mountain
2404.jpg,buildings
16328.jpg,forest
22701.jpg,mountain
7567.jpg,mountain
4885.jpg,glacier
1276.jpg,mountain
452.jpg,forest
7488.jpg,buildings
16410.jpg,sea
23523.jpg,forest
9546.jpg,mountain
2022.jpg,street
14119.jpg,sea
4085.jpg,mountain
4040.jpg,buildings
18537.jpg,forest
7989.jpg,mountain
8956.jpg,sea
4784.jpg,glacier
17595.jpg,mountain
10638.jpg,street
16921.jpg,street
7034.jpg,buildings
22509.jpg,sea
13208.jpg,mountain
7688.jpg,mountain
6692.jpg,mountain
11174.jpg,sea
7824.jpg,mountain
21379.jpg,glacier
7304.jpg,glacier
19902.jpg,forest
9295.jpg,street
20715.jpg,glacier
15002.jpg,street
9392.jpg,buildings
6727.jpg,mountain
21878.jpg,street
9101.jpg,glacier
18647.jpg,glacier
22548.jpg,street
23863.jpg,mountain
4415.jpg,mountain
17366.jpg,sea
10247.jpg,glacier
7974.jpg,street
9212.jpg,sea
21074.jpg,sea
7975.jpg,sea
8992.jpg,street
12970.jpg,street
20698.jpg,sea
15129.jpg,street
6500.jpg,street
4434.jpg,street
271.jpg,glacier
11997.jpg,sea
22131.jpg,glacier
9668.jpg,sea
11972.jpg,buildings
308.jpg,mountain
9712.jpg,glacier
5746.jpg,sea
13727.jpg,mountain
9162.jpg,forest
14678.jpg,street
3037.jpg,mountain
13084.jpg,glacier
22226.jpg,sea
8341.jpg,street
20557.jpg,mountain
15916.jpg,buildings
4587.jpg,buildings
4013.jpg,buildings
9130.jpg,buildings
14855.jpg,glacier
1945.jpg,forest
22873.jpg,glacier
14819.jpg,buildings
4105.jpg,mountain
16099.jpg,mountain
11682.jpg,sea
8083.jpg,sea
12859.jpg,forest
12254.jpg,glacier
10814.jpg,street
22474.jpg,sea
7714.jpg,mountain
9382.jpg,buildings
3292.jpg,glacier
1113.jpg,sea
379.jpg,street
5511.jpg,mountain
8370.jpg,sea
15543.jpg,street
20254.jpg,mountain
15119.jpg,glacier
12959.jpg,buildings
18554.jpg,mountain
2363.jpg,forest
15427.jpg,glacier
15455.jpg,street
22798.jpg,mountain
2030.jpg,street
4448.jpg,street
23671.jpg,forest
20920.jpg,glacier
23134.jpg,glacier
21616.jpg,buildings
22033.jpg,street
10457.jpg,buildings
6329.jpg,mountain
10169.jpg,street
22889.jpg,buildings
2165.jpg,buildings
7190.jpg,sea
12176.jpg,street
12057.jpg,buildings
22853.jpg,mountain
22578.jpg,street
11009.jpg,glacier
12612.jpg,sea
18223.jpg,forest
13150.jpg,mountain
7295.jpg,mountain
4496.jpg,forest
6108.jpg,mountain
14206.jpg,street
12098.jpg,sea
9175.jpg,sea
5220.jpg,forest
20488.jpg,street
21668.jpg,forest
13552.jpg,glacier
15193.jpg,mountain
14513.jpg,street
3550.jpg,mountain
8609.jpg,sea
1924.jpg,sea
3832.jpg,sea
21322.jpg,street
11242.jpg,glacier
23083.jpg,sea
12284.jpg,street
15994.jpg,buildings
21300.jpg,forest
23784.jpg,mountain
17862.jpg,sea
319.jpg,sea
11170.jpg,street
20118.jpg,sea
18973.jpg,buildings
5278.jpg,forest
23347.jpg,sea
3576.jpg,glacier
8582.jpg,sea
8368.jpg,forest
13591.jpg,forest
6031.jpg,mountain
12201.jpg,mountain
15706.jpg,buildings
1914.jpg,buildings
3452.jpg,forest
13065.jpg,glacier
20760.jpg,forest
16617.jpg,mountain
11975.jpg,glacier
7089.jpg,buildings
17869.jpg,forest
2315.jpg,forest
5493.jpg,mountain
15450.jpg,street
23553.jpg,mountain
15187.jpg,glacier
6492.jpg,sea
16860.jpg,street
20298.jpg,mountain
5589.jpg,glacier
22762.jpg,street
8869.jpg,mountain
16327.jpg,street
14982.jpg,buildings
557.jpg,buildings
14083.jpg,glacier
399.jpg,mountain
738.jpg,mountain
21975.jpg,forest
17150.jpg,sea
949.jpg,buildings
13227.jpg,forest
8560.jpg,mountain
13931.jpg,glacier
3451.jpg,street
15131.jpg,sea
22477.jpg,street
4782.jpg,glacier
19850.jpg,street
20351.jpg,glacier
23650.jpg,mountain
18482.jpg,mountain
1049.jpg,street
11240.jpg,forest
16193.jpg,mountain
4050.jpg,glacier
10858.jpg,forest
14890.jpg,glacier
3577.jpg,sea
11771.jpg,glacier
6173.jpg,sea
6696.jpg,street
544.jpg,sea
22395.jpg,glacier
7092.jpg,mountain
15201.jpg,street
24259.jpg,glacier
9947.jpg,buildings
23518.jpg,forest
24191.jpg,mountain
10885.jpg,mountain
9524.jpg,buildings
21820.jpg,forest
792.jpg,glacier
19893.jpg,street
6306.jpg,street
11909.jpg,street
16993.jpg,mountain
8326.jpg,mountain
2861.jpg,glacier
15563.jpg,forest
5486.jpg,glacier
17016.jpg,forest
15031.jpg,street
24140.jpg,buildings
22752.jpg,mountain
11811.jpg,mountain
12980.jpg,glacier
16676.jpg,mountain
10737.jpg,street
6701.jpg,forest
2824.jpg,sea
6058.jpg,street
21089.jpg,mountain
12061.jpg,sea
19712.jpg,mountain
23056.jpg,forest
9829.jpg,street
1783.jpg,street
4213.jpg,glacier
8310.jpg,buildings
11730.jpg,buildings
5749.jpg,street
21190.jpg,forest
9131.jpg,forest
18274.jpg,glacier
21351.jpg,glacier
21124.jpg,street
23129.jpg,forest
18924.jpg,sea
3289.jpg,mountain
4300.jpg,mountain
23196.jpg,forest
4563.jpg,sea
667.jpg,forest
15158.jpg,street
6257.jpg,glacier
3772.jpg,mountain
13269.jpg,mountain
8836.jpg,glacier
20110.jpg,sea
17415.jpg,mountain
18968.jpg,buildings
